食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
こめ　［水稲めし］　赤米,150.0 ,3.8 ,1.3 ,32.7 ,0,,,,,,,
こめ　［水稲めし］　黒米,150.0 ,3.6 ,1.4 ,32.2 ,0,,,,,,,
こめ　［水稲軟めし］　精白米,113.0 ,1.8 ,0.3 ,26.4 ,0,,,,,,,
こめ　［水稲全かゆ］　玄米,64.0 ,1.2 ,0.4 ,15.2 ,0,,,,,,,
こめ　［水稲全かゆ］　半つき米,65.0 ,1.1 ,0.3 ,15.5 ,0,,,,,,,
こめ　［水稲全かゆ］　七分つき米,68.0 ,1.1 ,0.2 ,15.6 ,0,,,,,,,
こめ　［水稲全かゆ］　精白米,65.0 ,1.1 ,0.1 ,15.7 ,0,,,,,,,
こめ　［水稲五分かゆ］　玄米,32.0 ,0.6 ,0.2 ,7.6 ,0,,,,,,,
こめ　［水稲五分かゆ］　半つき米,32.0 ,0.6 ,0.1 ,7.7 ,0,,,,,,,
こめ　［水稲五分かゆ］　七分つき米,32.0 ,0.6 ,0.1 ,7.7 ,0,,,,,,,
こめ　［水稲五分かゆ］　精白米,33.0 ,0.5 ,0.1 ,7.9 ,0,,,,,,,
こめ　［水稲おもゆ］　玄米,19.0 ,0.4 ,0.1 ,4.4 ,0,,,,,,,
こめ　［水稲おもゆ］　半つき米,19.0 ,0.3 ,0.1 ,4.6 ,0,,,,,,,
こめ　［水稲おもゆ］　七分つき米,20.0 ,0.3 ,0.1 ,4.6 ,0,,,,,,,
こめ　［水稲おもゆ］　精白米,19.0 ,0.3 ,0,4.7 ,0,,,,,,,
こめ　［陸稲穀粒］　玄米,357.0 ,10.1 ,2.7 ,71.1 ,0,,,,,,,
こめ　［陸稲穀粒］　半つき米,356.0 ,9.6 ,1.8 ,72.9 ,0,,,,,,,
こめ　［陸稲穀粒］　七分つき米,359.0 ,9.5 ,1.5 ,73.4 ,0,,,,,,,
こめ　［陸稲穀粒］　精白米,331.0 ,9.3 ,0.9 ,74.5 ,0,,,,,,,
こめ　［陸稲めし］　玄米,156.0 ,4.1 ,1.0,34.3 ,0,,,,,,,
こめ　［陸稲めし］　半つき米,157.0 ,3.8 ,0.6 ,35.3 ,0,,,,,,,
こめ　［陸稲めし］　七分つき米,155.0 ,3.6 ,0.5 ,35.7 ,0,,,,,,,
こめ　［陸稲めし］　精白米,157.0 ,3.5 ,0.3 ,36.1 ,0,,,,,,,
こめ　［うるち米製品］　アルファ化米　一般用,358.0 ,6.0,1.0,84.8 ,0,,,,,,,
こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358.0 ,6.0,1.0,84.8 ,0,,,,,,,
