食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
＜いも類＞　さといも類　さといも　球茎　冷凍,69.0 ,2.2 ,0.1 ,16.1 ,0,,,,,,,
＜いも類＞　さといも類　セレベス　球茎　生,80.0 ,2.2 ,0.3 ,19.8 ,0,,,,,,,
＜いも類＞　さといも類　セレベス　球茎　水煮,77.0 ,2.1 ,0.3 ,19.1 ,0,,,,,,,
＜いも類＞　さといも類　たけのこいも　球茎　生,97.0 ,1.7 ,0.4 ,23.5 ,0,,,,,,,
＜いも類＞　さといも類　たけのこいも　球茎　水煮,86.0 ,1.6 ,0.4 ,21.8 ,0,,,,,,,
＜いも類＞　さといも類　みずいも　球茎　生,111.0 ,0.7 ,0.4 ,27.6 ,0,,,,,,,
＜いも類＞　さといも類　みずいも　球茎　水煮,101.0 ,0.7 ,0.4 ,26.1 ,0,,,,,,,
＜いも類＞　さといも類　やつがしら　球茎　生,94.0 ,3.0,0.7 ,20.5 ,0,,,,,,,
＜いも類＞　さといも類　やつがしら　球茎　水煮,92.0 ,2.7 ,0.6 ,20.0,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮つき　生,51.0 ,1.8 ,0.1 ,15.9 ,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78.0 ,2.1 ,0.2 ,19.2 ,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　生を揚げたもの,153.0 ,2.7 ,5.6 ,25.4 ,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮なし　生,59.0 ,1.8 ,0.1 ,17.3 ,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71.0 ,1.7 ,0.1 ,16.9 ,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76.0 ,1.9 ,0.3 ,18.1 ,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78.0 ,1.9 ,0.1 ,19.0,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　生を揚げたもの,159.0 ,2.7 ,5.9 ,26.2 ,0,,,,,,,
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　市販冷凍食品を揚げたもの,229.0 ,2.9 ,10.6 ,32.4 ,0,,,,,,,
＜いも類＞　じゃがいも　乾燥マッシュポテト,347.0 ,6.6 ,0.6 ,82.8 ,0.2 ,,,,,,,
＜いも類＞　ヤーコン　塊根　生,52.0 ,0.6 ,0.3 ,12.4 ,0,,,,,,,
＜いも類＞　ヤーコン　塊根　水煮,42.0 ,0.6 ,0.3 ,9.9 ,0,,,,,,,
＜いも類＞　やまのいも類　ながいも　いちょういも　塊根　生,108.0 ,4.5 ,0.5 ,22.6 ,0,,,,,,,
＜いも類＞　やまのいも類　ながいも　ながいも　塊根　生,64.0 ,2.2 ,0.3 ,13.9 ,0,,,,,,,
＜いも類＞　やまのいも類　ながいも　ながいも　塊根　水煮,58.0 ,2.0,0.3 ,12.6 ,0,,,,,,,
＜いも類＞　やまのいも類　ながいも　やまといも　塊根　生,119.0 ,4.5 ,0.2 ,27.1 ,0,,,,,,,
＜いも類＞　やまのいも類　じねんじょ　塊根　生,118.0 ,2.8 ,0.7 ,26.7 ,0,,,,,,,
＜いも類＞　やまのいも類　だいじょ　塊根　生,102.0 ,2.6 ,0.1 ,25.0,0.1 ,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　おおうばゆりでん粉,327.0 ,0.1 ,0.1 ,83.6 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　キャッサバでん粉,354.0 ,0.1 ,0.2 ,85.3 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　くずでん粉,356.0 ,0.2 ,0.2 ,85.6 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　米でん粉,375.0 ,0.2 ,0.7 ,89.3 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　小麦でん粉,360.0 ,0.2 ,0.5 ,86.0,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　サゴでん粉,357.0 ,0.1 ,0.2 ,86.1 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　さつまいもでん粉,340.0 ,0.1 ,0.2 ,82.0,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　じゃがいもでん粉,338.0 ,0.1 ,0.1 ,81.6 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉類　とうもろこしでん粉,363.0 ,0.1 ,0.7 ,86.3 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　くずきり　乾,341.0 ,0.2 ,0.2 ,87.7 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　くずきり　ゆで,133.0 ,0.1 ,0.1 ,33.3 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　ごま豆腐,75.0 ,1.5 ,4.3 ,9.1 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　乾,352.0 ,0,0.2 ,87.8 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　ゆで,61.0 ,0,Tr,15.4 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　生,129.0 ,0.1 ,0.2 ,32.2 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾,347.0 ,0.2 ,0.3 ,86.7 ,0.1 ,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾　ゆで,83.0 ,0,0.2 ,20.6 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　乾,344.0 ,0.2 ,0.4 ,87.5 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　ゆで,78.0 ,Tr,0.1 ,20.6 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　乾,346.0 ,0,0.2 ,86.6 ,0,,,,,,,
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　ゆで,76.0 ,0,Tr,19.9 ,0,,,,,,,
砂糖類　黒砂糖,352.0 ,1.7 ,Tr,90.3 ,0.1 ,,,,,,,
砂糖類　てんさい含蜜糖,357.0 ,0.9 ,Tr,96.9 ,0.1 ,,,,,,,
砂糖類　和三盆糖,393.0 ,0.2 ,Tr,99.0,0,,,,,,,
砂糖類　車糖　上白糖,391.0 ,0.0 ,0.0 ,99.3 ,0,,,,,,,
砂糖類　車糖　三温糖,390.0 ,Tr,0.0 ,99.0,0,,,,,,,
砂糖類　ざらめ糖　グラニュー糖,394.0 ,0.0 ,0.0 ,100.0 ,0,,,,,,,
砂糖類　ざらめ糖　白ざら糖,393.0 ,0.0 ,0.0 ,100.0 ,0,,,,,,,
砂糖類　ざらめ糖　中ざら糖,393.0 ,0.0 ,0.0 ,100.0 ,0,,,,,,,
砂糖類　加工糖　角砂糖,394.0 ,0.0 ,0.0 ,100.0 ,0,,,,,,,
砂糖類　加工糖　氷砂糖,394.0 ,0.0 ,0.0 ,100.0 ,0,,,,,,,
砂糖類　加工糖　コーヒーシュガー,394.0 ,0.1 ,0.0 ,99.8 ,0,,,,,,,
砂糖類　加工糖　粉糖,393.0 ,0.0 ,0.0 ,99.7 ,0,,,,,,,
砂糖類　液糖　しょ糖型液糖,267.0 ,0.0 ,0.0 ,67.9 ,0,,,,,,,
砂糖類　液糖　転化型液糖,294.0 ,0.0 ,0.0 ,76.6 ,0,,,,,,,
砂糖類　氷糖みつ,274.0 ,0.2 ,0.0 ,68.2 ,0,,,,,,,
でん粉糖類　還元麦芽糖,208.0 ,0,Tr,100.0 ,0,,,,,,,
でん粉糖類　還元水あめ,210.0 ,0,Tr,69.9 ,0,,,,,,,
でん粉糖類　粉あめ,397.0 ,0.0 ,0.0 ,97.0,0,,,,,,,
でん粉糖類　水あめ　酵素糖化,342.0 ,0.0 ,0.0 ,85.0,0,,,,,,,
でん粉糖類　水あめ　酸糖化,341.0 ,0.0 ,0.0 ,85.0,0,,,,,,,
でん粉糖類　ぶどう糖　全糖,342.0 ,0.0 ,0.0 ,91.0,0,,,,,,,
でん粉糖類　ぶどう糖　含水結晶,342.0 ,0.0 ,0.0 ,91.3 ,0,,,,,,,
でん粉糖類　ぶどう糖　無水結晶,374.0 ,0.0 ,0.0 ,99.7 ,0,,,,,,,
でん粉糖類　果糖,375.0 ,0.0 ,0.0 ,99.9 ,0,,,,,,,
でん粉糖類　異性化液糖　ぶどう糖果糖液糖,283.0 ,0,0,75.0,0,,,,,,,
でん粉糖類　異性化液糖　果糖ぶどう糖液糖,283.0 ,0,0,75.0,0,,,,,,,
でん粉糖類　異性化液糖　高果糖液糖,282.0 ,0,0,75.0,0,,,,,,,
その他　黒蜜,199.0 ,1.0,0,50.5 ,0,,,,,,,
その他　はちみつ,329.0 ,0.3 ,Tr,81.9 ,0,,,,,,,
その他　メープルシロップ,266.0 ,0.1 ,0,66.3 ,0,,,,,,,
あずき　全粒　乾,304.0 ,20.8 ,2.0,59.6 ,0,,,,,,,
あずき　全粒　ゆで,124.0 ,8.6 ,0.8 ,25.6 ,0,,,,,,,
あずき　ゆで小豆缶詰,202.0 ,4.4 ,0.4 ,49.2 ,0.2 ,,,,,,,
あずき　あん　こし生あん,147.0 ,9.8 ,0.6 ,27.1 ,0,,,,,,,
あずき　あん　さらしあん　乾燥あん,335.0 ,23.5 ,1.0,66.8 ,0,,,,,,,
あずき　あん　こし練りあん　並あん,255.0 ,5.6 ,0.3 ,58.8 ,0,,,,,,,
あずき　あん　こし練りあん　中割りあん,262.0 ,5.1 ,0.3 ,61.1 ,0,,,,,,,
あずき　あん　こし練りあん　もなかあん,292.0 ,5.1 ,0.3 ,68.6 ,0,,,,,,,
あずき　あん　つぶし練りあん,239.0 ,5.6 ,0.6 ,54.0,0.1 ,,,,,,,
いんげんまめ　全粒　乾,280.0 ,22.1 ,2.5 ,56.4 ,0,,,,,,,
いんげんまめ　全粒　ゆで,127.0 ,9.3 ,1.2 ,24.5 ,0,,,,,,,
いんげんまめ　うずら豆,214.0 ,6.7 ,1.3 ,49.6 ,0.3 ,,,,,,,
いんげんまめ　こし生あん,135.0 ,9.4 ,0.9 ,27.0,0,,,,,,,
いんげんまめ　豆きんとん,238.0 ,4.9 ,0.5 ,56.2 ,0.3 ,,,,,,,
えんどう　全粒　青えんどう　乾,310.0 ,21.7 ,2.3 ,60.4 ,0,,,,,,,
えんどう　全粒　青えんどう　ゆで,129.0 ,9.2 ,1.0,25.2 ,0,,,,,,,
えんどう　全粒　赤えんどう　乾,310.0 ,21.7 ,2.3 ,60.4 ,0,,,,,,,
えんどう　全粒　赤えんどう　ゆで,129.0 ,9.2 ,1.0,25.2 ,0,,,,,,,
えんどう　グリンピース揚げ豆,375.0 ,20.8 ,11.6 ,58.8 ,0.9 ,,,,,,,
えんどう　塩豆,321.0 ,23.3 ,2.4 ,61.5 ,1.5 ,,,,,,,
えんどう　うぐいす豆,228.0 ,5.6 ,0.7 ,52.9 ,0.4 ,,,,,,,
ささげ　全粒　乾,280.0 ,23.9 ,2.0,55.0,0,,,,,,,
ささげ　全粒　ゆで,130.0 ,10.2 ,0.9 ,23.8 ,0,,,,,,,
そらまめ　全粒　乾,323.0 ,26.0,2.0,55.9 ,0,,,,,,,
そらまめ　フライビーンズ,436.0 ,24.7 ,20.8 ,46.4 ,1.8 ,,,,,,,
そらまめ　おたふく豆,237.0 ,7.9 ,1.2 ,52.2 ,0.4 ,,,,,,,
そらまめ　ふき豆,251.0 ,9.6 ,1.6 ,52.5 ,0.8 ,,,,,,,
そらまめ　しょうゆ豆,173.0 ,9.8 ,0.9 ,37.1 ,1.2 ,,,,,,,
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,354.0 ,33.5 ,19.3 ,30.1 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,145.0 ,15.0,8.2 ,9.9 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,372.0 ,33.8 ,19.7 ,29.5 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,163.0 ,14.8 ,9.8 ,8.4 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,402.0 ,33.0,21.7 ,28.8 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,391.0 ,32.8 ,19.5 ,30.8 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,414.0 ,33.6 ,22.6 ,30.7 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,349.0 ,33.9 ,18.8 ,28.9 ,0,,,,,,,
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,155.0 ,14.7 ,8.6 ,9.8 ,0,,,,,,,
だいず　［全粒・全粒製品］　いり大豆　青大豆,425.0 ,37.7 ,20.7 ,33.9 ,0,,,,,,,
だいず　［全粒・全粒製品］　いり大豆　黄大豆,429.0 ,37.5 ,21.6 ,33.3 ,0,,,,,,,
だいず　［全粒・全粒製品］　いり大豆　黒大豆,431.0 ,36.4 ,22.0,34.3 ,0,,,,,,,
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,124.0 ,12.9 ,6.7 ,7.7 ,0.5 ,,,,,,,
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,186.0 ,16.6 ,9.8 ,13.8 ,0.6 ,,,,,,,
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,424.0 ,37.0,22.8 ,29.3 ,0,,,,,,,
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,418.0 ,36.6 ,24.6 ,28.3 ,0,,,,,,,
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,451.0 ,36.7 ,25.7 ,28.5 ,0,,,,,,,
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,456.0 ,37.5 ,25.1 ,29.5 ,0,,,,,,,
だいず　［全粒・全粒製品］　きな粉砂糖入り　青きな粉,392.0 ,18.5 ,11.4 ,64.3 ,0,,,,,,,
だいず　［全粒・全粒製品］　きな粉砂糖入り　きな粉,406.0 ,18.3 ,12.9 ,63.9 ,0,,,,,,,
だいず　［全粒・全粒製品］　大豆はいが,404.0 ,37.8 ,14.7 ,39.5 ,0,,,,,,,
だいず　［全粒・全粒製品］　ぶどう豆,265.0 ,14.1 ,9.4 ,37.0,1.6 ,,,,,,,
だいず　［豆腐・油揚げ類］　木綿豆腐,73.0 ,7.0,4.9 ,1.5 ,0,,,,,,,
だいず　［豆腐・油揚げ類］　木綿豆腐　凝固剤：塩化マグネシウム,73.0 ,7.0,4.9 ,1.5 ,0.1 ,,,,,,,
だいず　［豆腐・油揚げ類］　木綿豆腐　凝固剤：硫酸カルシウム,73.0 ,7.0,4.9 ,1.5 ,0,,,,,,,
だいず　［豆腐・油揚げ類］　絹ごし豆腐,56.0 ,5.3 ,3.5 ,2.0,0,,,,,,,
だいず　［豆腐・油揚げ類］　絹ごし豆腐　凝固剤：塩化マグネシウム,56.0 ,5.3 ,3.5 ,2.0,0,,,,,,,
だいず　［豆腐・油揚げ類］　絹ごし豆腐　凝固剤：硫酸カルシウム,56.0 ,5.3 ,3.5 ,2.0,0,,,,,,,
だいず　［豆腐・油揚げ類］　ソフト豆腐,56.0 ,5.1 ,3.3 ,2.0,0,,,,,,,
だいず　［豆腐・油揚げ類］　充てん豆腐,56.0 ,5.0,3.1 ,2.5 ,0,,,,,,,
だいず　［豆腐・油揚げ類］　沖縄豆腐,99.0 ,9.1 ,7.2 ,0.7 ,0.4 ,,,,,,,
だいず　［豆腐・油揚げ類］　ゆし豆腐,47.0 ,4.3 ,2.8 ,1.7 ,0.6 ,,,,,,,
だいず　［豆腐・油揚げ類］　焼き豆腐,82.0 ,7.8 ,5.7 ,1.0,0,,,,,,,
だいず　［豆腐・油揚げ類］　生揚げ,143.0 ,10.7 ,11.3 ,0.9 ,0,,,,,,,
だいず　［豆腐・油揚げ類］　油揚げ　生,377.0 ,23.4 ,34.4 ,0.4 ,0,,,,,,,
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,266.0 ,18.2 ,23.4 ,Tr,0,,,,,,,
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,164.0 ,12.4 ,13.8 ,0.3 ,0,,,,,,,
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,361.0 ,24.9 ,32.2 ,0.7 ,0,,,,,,,
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,231.0 ,11.2 ,13.0,19.1 ,1.2 ,,,,,,,
だいず　［豆腐・油揚げ類］　がんもどき,223.0 ,15.3 ,17.8 ,1.6 ,0.5 ,,,,,,,
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,496.0 ,50.5 ,34.1 ,4.2 ,1.1 ,,,,,,,
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,104.0 ,10.7 ,7.3 ,1.1 ,0.7 ,,,,,,,
だいず　［豆腐・油揚げ類］　豆腐よう,183.0 ,9.5 ,8.3 ,19.1 ,1.9 ,,,,,,,
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,121.0 ,14.9 ,4.4 ,6.7 ,1.9 ,,,,,,,
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,133.0 ,16.1 ,4.9 ,7.5 ,2.3 ,,,,,,,
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,332.0 ,34.7 ,21.5 ,3.8 ,11.0,,,,,,,
だいず　［納豆類］　糸引き納豆,190.0 ,16.5 ,10.0,12.1 ,0,,,,,,,
だいず　［納豆類］　挽きわり納豆,185.0 ,16.6 ,10.0,10.5 ,0,,,,,,,
だいず　［納豆類］　五斗納豆,214.0 ,15.3 ,8.1 ,24.0,5.8 ,,,,,,,
だいず　［納豆類］　寺納豆,248.0 ,18.6 ,8.1 ,31.5 ,14.2 ,,,,,,,
だいず　［その他］　おから　生,88.0 ,6.1 ,3.6 ,13.8 ,0,,,,,,,
だいず　［その他］　おから　乾燥,333.0 ,23.1 ,13.6 ,52.3 ,0,,,,,,,
だいず　［その他］　豆乳　豆乳,44.0 ,3.6 ,2.0,3.1 ,0,,,,,,,
だいず　［その他］　豆乳　調製豆乳,63.0 ,3.2 ,3.6 ,4.8 ,0.1 ,,,,,,,
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,59.0 ,2.2 ,2.2 ,7.8 ,0.1 ,,,,,,,
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,318.0 ,46.3 ,3.0,36.7 ,0,,,,,,,
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,313.0 ,58.2 ,1.7 ,27.9 ,1.4 ,,,,,,,
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,335.0 ,79.1 ,3.0,7.5 ,3.3 ,,,,,,,
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,335.0 ,79.1 ,3.0,7.5 ,1.6 ,,,,,,,
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,365.0 ,59.3 ,5.0,25.2 ,3.6 ,,,,,,,
だいず　［その他］　湯葉　生,218.0 ,21.8 ,13.7 ,4.1 ,0,,,,,,,
だいず　［その他］　湯葉　干し　乾,485.0 ,50.4 ,32.1 ,7.2 ,0,,,,,,,
だいず　［その他］　湯葉　干し　湯戻し,151.0 ,15.7 ,10.6 ,0.1 ,0,,,,,,,
だいず　［その他］　金山寺みそ,247.0 ,6.9 ,3.2 ,50.0,5.1 ,,,,,,,
だいず　［その他］　ひしおみそ,198.0 ,6.5 ,2.7 ,38.8 ,4.8 ,,,,,,,
だいず　［その他］　テンペ,180.0 ,15.8 ,9.0,15.4 ,0,,,,,,,
つるあずき　全粒　乾,297.0 ,20.8 ,1.6 ,61.8 ,0,,,,,,,
つるあずき　全粒　ゆで,132.0 ,9.7 ,1.0,27.5 ,0,,,,,,,
ひよこまめ　全粒　乾,336.0 ,20.0,5.2 ,61.5 ,0,,,,,,,
ひよこまめ　全粒　ゆで,149.0 ,9.5 ,2.5 ,27.4 ,0,,,,,,,
ひよこまめ　全粒　フライ　味付け,366.0 ,18.8 ,10.4 ,62.6 ,1.8 ,,,,,,,
べにばないんげん　全粒　乾,273.0 ,17.2 ,1.7 ,61.2 ,0,,,,,,,
べにばないんげん　全粒　ゆで,103.0 ,6.2 ,0.6 ,22.3 ,0,,,,,,,
やぶまめ　乾,383.0 ,23.4 ,10.1 ,49.5 ,0,,,,,,,
らいまめ　全粒　乾,306.0 ,21.9 ,1.8 ,60.8 ,0,,,,,,,
らいまめ　全粒　ゆで,122.0 ,9.6 ,0.9 ,26.0,0,,,,,,,
りょくとう　全粒　乾,319.0 ,25.1 ,1.5 ,59.1 ,0,,,,,,,
りょくとう　全粒　ゆで,125.0 ,10.2 ,0.6 ,22.5 ,0,,,,,,,
レンズまめ　全粒　乾,313.0 ,23.2 ,1.5 ,60.7 ,0,,,,,,,
レンズまめ　全粒　ゆで,149.0 ,11.2 ,0.8 ,29.1 ,0,,,,,,,
アーモンド　乾,609.0 ,19.6 ,51.8 ,20.9 ,0,,,,,,,
アーモンド　フライ　味付け,626.0 ,21.3 ,55.7 ,17.9 ,0.3 ,,,,,,,
アーモンド　いり　無塩,608.0 ,20.3 ,54.1 ,20.7 ,0,,,,,,,
あさ　乾,450.0 ,29.9 ,28.3 ,31.7 ,0,,,,,,,
あまに　いり,540.0 ,21.8 ,43.3 ,30.4 ,0.2 ,,,,,,,
えごま　乾,523.0 ,17.7 ,43.4 ,29.4 ,0,,,,,,,
カシューナッツ　フライ　味付け,591.0 ,19.8 ,47.6 ,26.7 ,0.6 ,,,,,,,
かぼちゃ　いり　味付け,590.0 ,26.5 ,51.8 ,12.0,0.1 ,,,,,,,
かや　いり,629.0 ,8.7 ,64.9 ,22.6 ,0,,,,,,,
ぎんなん　生,168.0 ,4.7 ,1.6 ,34.8 ,0,,,,,,,
ぎんなん　ゆで,169.0 ,4.6 ,1.5 ,35.8 ,0,,,,,,,
くり類　日本ぐり　生,147.0 ,2.8 ,0.5 ,36.9 ,0,,,,,,,
くり類　日本ぐり　ゆで,152.0 ,3.5 ,0.6 ,36.7 ,0,,,,,,,
くり類　日本ぐり　甘露煮,232.0 ,1.8 ,0.4 ,56.8 ,0,,,,,,,
くり類　中国ぐり　甘ぐり,207.0 ,4.9 ,0.9 ,48.5 ,0,,,,,,,
くるみ　いり,713.0 ,14.6 ,68.8 ,11.7 ,0,,,,,,,
けし　乾,555.0 ,19.3 ,49.1 ,21.8 ,0,,,,,,,
ココナッツ　ココナッツパウダー,676.0 ,6.1 ,65.8 ,23.7 ,0,,,,,,,
ごま　乾,604.0 ,19.8 ,53.8 ,16.5 ,0,,,,,,,
ごま　いり,605.0 ,20.3 ,54.2 ,18.5 ,0,,,,,,,
ごま　むき,570.0 ,19.3 ,54.9 ,18.8 ,0,,,,,,,
ごま　ねり,646.0 ,19.0,61.0,15.6 ,0,,,,,,,
しい　生,244.0 ,3.2 ,0.8 ,57.6 ,0,,,,,,,
すいか　いり　味付け,528.0 ,29.6 ,46.4 ,13.4 ,1.5 ,,,,,,,
チアシード　乾,446.0 ,19.4 ,33.9 ,34.5 ,0,,,,,,,
とち　蒸し,148.0 ,1.7 ,1.9 ,34.2 ,0.6 ,,,,,,,
はす　未熟　生,81.0 ,5.9 ,0.5 ,14.9 ,0,,,,,,,
はす　成熟　乾,327.0 ,18.3 ,2.3 ,64.3 ,0,,,,,,,
はす　成熟　ゆで,118.0 ,7.3 ,0.8 ,25.0,0,,,,,,,
ひし類　ひし　生,183.0 ,5.8 ,0.5 ,40.6 ,0,,,,,,,
ひし類　とうびし　生,122.0 ,2.7 ,0.4 ,31.4 ,0,,,,,,,
ひし類　とうびし　ゆで,120.0 ,2.7 ,0.3 ,30.5 ,0,,,,,,,
ピスタチオ　いり　味付け,617.0 ,17.4 ,56.1 ,20.9 ,0.7 ,,,,,,,
ひまわり　フライ　味付け,587.0 ,20.1 ,56.3 ,17.2 ,0.6 ,,,,,,,
ブラジルナッツ　フライ　味付け,703.0 ,14.9 ,69.1 ,9.6 ,0.2 ,,,,,,,
ヘーゼルナッツ　フライ　味付け,701.0 ,13.6 ,69.3 ,13.9 ,0.1 ,,,,,,,
ペカン　フライ　味付け,716.0 ,9.6 ,73.4 ,13.3 ,0.4 ,,,,,,,
マカダミアナッツ　いり　味付け,751.0 ,8.3 ,76.7 ,12.2 ,0.5 ,,,,,,,
まつ　生,681.0 ,15.8 ,68.2 ,10.6 ,0,,,,,,,
まつ　いり,724.0 ,14.6 ,72.5 ,8.1 ,0,,,,,,,
らっかせい　大粒種　乾,572.0 ,25.2 ,47.0,19.4 ,0,,,,,,,
らっかせい　大粒種　いり,613.0 ,25.0,49.6 ,21.3 ,0,,,,,,,
らっかせい　小粒種　乾,573.0 ,25.4 ,47.5 ,18.8 ,0,,,,,,,
らっかせい　小粒種　いり,607.0 ,26.5 ,49.4 ,19.6 ,0,,,,,,,
らっかせい　バターピーナッツ,609.0 ,23.3 ,53.2 ,18.3 ,0.3 ,,,,,,,
らっかせい　ピーナッツバター,599.0 ,20.6 ,50.4 ,24.9 ,0.9 ,,,,,,,
アーティチョーク　花らい　生,39.0 ,2.3 ,0.2 ,11.3 ,0.1 ,,,,,,,
アーティチョーク　花らい　ゆで,35.0 ,2.1 ,0.1 ,10.8 ,0,,,,,,,
あさつき　葉　生,34.0 ,4.2 ,0.3 ,5.6 ,0,,,,,,,
あさつき　葉　ゆで,41.0 ,4.2 ,0.3 ,7.3 ,0,,,,,,,
あしたば　茎葉　生,30.0 ,3.3 ,0.1 ,6.7 ,0.2 ,,,,,,,
あしたば　茎葉　ゆで,28.0 ,2.9 ,0.1 ,6.6 ,0.1 ,,,,,,,
アスパラガス　若茎　生,21.0 ,2.6 ,0.2 ,3.9 ,0,,,,,,,
アスパラガス　若茎　ゆで,25.0 ,2.6 ,0.1 ,4.6 ,0,,,,,,,
アスパラガス　若茎　油いため,54.0 ,2.9 ,3.9 ,4.1 ,0,,,,,,,
アスパラガス　水煮缶詰,24.0 ,2.4 ,0.1 ,4.3 ,0.9 ,,,,,,,
アロエ　葉　生,3.0 ,0,0.1 ,0.7 ,0,,,,,,,
いんげんまめ　さやいんげん　若ざや　生,23.0 ,1.8 ,0.1 ,5.1 ,0,,,,,,,
いんげんまめ　さやいんげん　若ざや　ゆで,25.0 ,1.8 ,0.2 ,5.5 ,0,,,,,,,
うど類　うど　茎　生,19.0 ,0.8 ,0.1 ,4.3 ,0,,,,,,,
うど類　うど　茎　水さらし,13.0 ,0.6 ,0,3.4 ,0,,,,,,,
うど類　やまうど　茎　生,19.0 ,1.1 ,0.1 ,4.3 ,0,,,,,,,
うるい　葉　生,19.0 ,1.9 ,0.4 ,4.0,0,,,,,,,
えだまめ　生,125.0 ,11.7 ,6.2 ,8.8 ,0,,,,,,,
えだまめ　ゆで,118.0 ,11.5 ,6.1 ,8.9 ,0,,,,,,,
えだまめ　冷凍,143.0 ,13.0,7.6 ,10.6 ,0,,,,,,,
エンダイブ　葉　生,14.0 ,1.2 ,0.2 ,2.9 ,0.1 ,,,,,,,
えんどう類　トウミョウ　茎葉　生,28.0 ,3.8 ,0.4 ,4.0,0,,,,,,,
えんどう類　トウミョウ　芽ばえ　生,27.0 ,3.8 ,0.4 ,3.2 ,0,,,,,,,
えんどう類　トウミョウ　芽ばえ　ゆで,28.0 ,3.6 ,0.6 ,3.8 ,0,,,,,,,
